# Format: WORD|CATEGORY|hint (hint is optional)

# --- ANIMALS ---
BEAR|ANIMAL|large and furry
BEAVER|ANIMAL|builds dams
BEE|ANIMAL|makes honey
BUTTERFLY|ANIMAL|was a caterpillar
CAMEL|ANIMAL|desert animal with humps
CAT|ANIMAL|says meow
CHEETAH|ANIMAL|fastest land animal
CRAB|ANIMAL|sideways walker with claws
CROCODILE|ANIMAL|swamp reptile
CROW|ANIMAL|black smart bird
DEER|ANIMAL|antlered forest animal
DOG|ANIMAL|man's best friend
DOLPHIN|ANIMAL|playful sea mammal
EAGLE|ANIMAL|bird of prey
ELEPHANT|ANIMAL|has a trunk
FALCON|ANIMAL|swift hunting bird
FIREFLY|ANIMAL|glows in the night
FLAMINGO|ANIMAL|pink long-legged bird
FOX|ANIMAL|cunning and red
FROG|ANIMAL|hops and croaks
GAZELLE|ANIMAL|graceful and fast
GIRAFFE|ANIMAL|very long neck
GORILLA|ANIMAL|strong primate
HAWK|ANIMAL|sharp eyed hunter
HEDGEHOG|ANIMAL|small spiky mammal
HIPPOPOTAMUS|ANIMAL|big African river animal
HORSE|ANIMAL|you ride it
HUMMINGBIRD|ANIMAL|tiny fast-flapping bird
IGUANA|ANIMAL|tropical lizard
JAGUAR|ANIMAL|spotted big cat
JELLYFISH|ANIMAL|gelatinous sea creature
KANGAROO|ANIMAL|jumps with a pouch
KOALA|ANIMAL|sleeps in eucalyptus
LADYBUG|ANIMAL|red beetle with dots
LION|ANIMAL|king of the jungle
LIZARD|ANIMAL|small scaly reptile
LOBSTER|ANIMAL|red crustacean with claws
MONKEY|ANIMAL|playful primate
MOSQUITO|ANIMAL|tiny bloodsucker
MOUSE|ANIMAL|small rodent
OCTOPUS|ANIMAL|eight tentacles
OSTRICH|ANIMAL|big bird that cannot fly
OTTER|ANIMAL|swims with rock on chest
OWL|ANIMAL|big-eyed night bird
PANDA|ANIMAL|black-white bamboo eater
PARROT|ANIMAL|colorful talking bird
PEACOCK|ANIMAL|fans a glorious tail
PENGUIN|ANIMAL|flightless bird of the south
PIGEON|ANIMAL|city bird
RABBIT|ANIMAL|long ears, hops
RACCOON|ANIMAL|masked mischief maker
RHINOCEROS|ANIMAL|horned heavy beast
SALMON|ANIMAL|swims upriver
SEAGULL|ANIMAL|shore bird
SHARK|ANIMAL|sea predator
SKUNK|ANIMAL|stinky black-white striped
SNAIL|ANIMAL|carries its house
SNAKE|ANIMAL|legless reptile
SPARROW|ANIMAL|tiny common bird
SPIDER|ANIMAL|eight legs, weaves webs
SQUIRREL|ANIMAL|collects acorns
TIGER|ANIMAL|striped big cat
TOAD|ANIMAL|frog's drier cousin
TORTOISE|ANIMAL|land turtle
TOUCAN|ANIMAL|huge colorful beak
TURTLE|ANIMAL|wears its shell
WHALE|ANIMAL|huge sea mammal
WOLF|ANIMAL|howls at the moon
ZEBRA|ANIMAL|striped horse

# --- OBJECTS ---
ANCHOR|OBJECT|holds a boat
BACKPACK|OBJECT|carried on the back
BICYCLE|VEHICLE|two wheels, you pedal
BOOK|OBJECT|has pages to read
BROOM|OBJECT|for sweeping
BRUSH|OBJECT|paint or hair
BUTTON|OBJECT|round, holds clothes shut
CAMERA|OBJECT|takes pictures
CANDLE|OBJECT|wax with a flame
CLOCK|OBJECT|tells time
COMPASS|OBJECT|points north
COUCH|OBJECT|long seat for many
CRADLE|OBJECT|where babies rock
CRYSTAL|OBJECT|clear precious stone
DIAMOND|OBJECT|hardest gemstone
DRUM|INSTRUMENT|you hit it
EASEL|OBJECT|holds a painting up
FAN|OBJECT|moves air around
FLUTE|INSTRUMENT|long and you blow
FORK|OBJECT|utensil with tines
GLASSES|OBJECT|help you see
GLOVE|CLOTHING|covers the hand
GUITAR|INSTRUMENT|six strings
HAMMER|OBJECT|drives nails
HARP|INSTRUMENT|tall, plucked strings
KEY|OBJECT|opens locks
KETTLE|OBJECT|boils water
LADDER|OBJECT|climb its rungs
LAMP|OBJECT|gives indoor light
LANTERN|OBJECT|portable light
MAGNET|OBJECT|attracts iron
