# Formato: PALABRA|CATEGORIA|pista (la pista es opcional)
# Sin tildes en vocales (la Ñ sí está permitida porque es letra propia).

# --- ANIMALES ---
ABEJA|ANIMAL|hace miel
AGUILA|ANIMAL|ave rapaz
ARANA|ANIMAL|tiene ocho patas
ARDILLA|ANIMAL|come bellotas
ATUN|ANIMAL|pescado azul
AVESTRUZ|ANIMAL|ave gigante que no vuela
BALLENA|ANIMAL|mamifero marino enorme
BUHO|ANIMAL|ave nocturna de ojos grandes
CABALLO|ANIMAL|se monta
CAMELLO|ANIMAL|del desierto, con jorobas
CANGREJO|ANIMAL|con pinzas y caparazon
CANGURO|ANIMAL|salta con bolsa
CARACOL|ANIMAL|deja baba al moverse
CASTOR|ANIMAL|construye represas
CIERVO|ANIMAL|macho con cuernos ramificados
COCODRILO|ANIMAL|reptil de pantano
COLIBRI|ANIMAL|ave diminuta
CONEJO|ANIMAL|orejas largas
CUERVO|ANIMAL|ave negra inteligente
DELFIN|ANIMAL|mamifero marino juguetón
ELEFANTE|ANIMAL|tiene trompa
ERIZO|ANIMAL|con puas
ESCARABAJO|ANIMAL|insecto de caparazon duro
FLAMENCO|ANIMAL|ave rosada de patas largas
FOCA|ANIMAL|aplaude bajo agua
GALLINA|ANIMAL|pone huevos
GATO|ANIMAL|maulla
GAVIOTA|ANIMAL|ave de la costa
GORILA|ANIMAL|primate fuerte
HALCON|ANIMAL|ave rapaz veloz
HIPOPOTAMO|ANIMAL|vive en rios africanos
HORMIGA|ANIMAL|insecto que carga 50 veces su peso
IGUANA|ANIMAL|lagarto grande
JABALI|ANIMAL|cerdo salvaje
JIRAFA|ANIMAL|cuello larguisimo
KOALA|ANIMAL|duerme en eucaliptos
LANGOSTA|ANIMAL|crustaceo rojo
LEON|ANIMAL|rey de la selva
LIBELULA|ANIMAL|insecto de cuatro alas
LOBO|ANIMAL|aulla a la luna
LUCIERNAGA|ANIMAL|insecto que brilla en la noche
MARIPOSA|ANIMAL|antes era oruga
MARIQUITA|ANIMAL|escarabajo rojo con puntos
MEDUSA|ANIMAL|gelatinosa de mar
MONO|ANIMAL|primate juguetón
MOSQUITO|ANIMAL|insecto chupasangre
MURCIELAGO|ANIMAL|mamifero que vuela
NUTRIA|ANIMAL|nada con piedra en el pecho
OSO|ANIMAL|grande y peludo
PALOMA|ANIMAL|ave de la paz
PANDA|ANIMAL|blanco y negro, come bambu
PERRO|ANIMAL|mejor amigo del hombre
PINGUINO|ANIMAL|ave que no vuela del polo sur
PULPO|ANIMAL|ocho tentaculos
RANA|ANIMAL|croa en el estanque
RATON|ANIMAL|roedor pequeño
RINOCERONTE|ANIMAL|tiene cuerno en el hocico
SALAMANDRA|ANIMAL|anfibio de cola larga
SAPO|ANIMAL|pariente de la rana
SERPIENTE|ANIMAL|reptil sin patas
TIBURON|ANIMAL|depredador del mar
TIGRE|ANIMAL|felino a rayas
TORTUGA|ANIMAL|caparazon a cuestas
TUCAN|ANIMAL|ave de pico enorme y colorido
